[2013-04-10 16:45:11]INFO  server.aboutBot.Answers(line:27) -没有可回答答案，插入Unknow回答!
[2013-04-10 16:45:11]INFO  server.aboutBot.Answers(line:30) -答案集：1 [我不知道你想让我说什么呢。]
[2013-04-10 16:45:11]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::我不知道你想让我说什么呢。
[2013-04-10 16:45:11]INFO  server.handle.Dispatcher(line:58) -使用时间为：548
[2013-04-10 16:45:16]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:57981receive:1_你好::::0::::-1::::0
[2013-04-10 16:45:16]INFO  server.aboutBot.Bot(line:212) -start aboutMemory
[2013-04-10 16:45:16]INFO  server.aboutBot.Bot(line:286) -1 true
[2013-04-10 16:45:16]INFO  server.aboutBot.Answers(line:15) -插入可回答答案none
[2013-04-10 16:45:16]INFO  server.aboutBot.Bot(line:221) -start aboutMyself
[2013-04-10 16:45:16]INFO  server.aboutBot.Bot(line:230) -start aboutQuestion
[2013-04-10 16:45:16]INFO  server.aboutBot.Bot(line:414) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:45:16]INFO  server.aboutBot.Bot(line:236) -start aboutUnknow
[2013-04-10 16:45:16]INFO  server.aboutBot.Answers(line:22) -插入Unknow回答我不知道你想让我说什么呢。
[2013-04-10 16:45:16]INFO  server.aboutBot.Bot(line:238) -aboutUnknow access
[2013-04-10 16:45:16]INFO  server.aboutBot.Answers(line:30) -答案集：1 [none]
[2013-04-10 16:45:16]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::none
[2013-04-10 16:45:16]INFO  server.handle.Dispatcher(line:58) -使用时间为：10
[2013-04-10 16:51:17]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:58013receive:1_你好::::1::::1::::1
[2013-04-10 16:51:17]INFO  server.aboutBot.Bot(line:212) -start aboutMemory
[2013-04-10 16:51:17]INFO  server.aboutBot.Bot(line:286) -0 false
[2013-04-10 16:51:17]INFO  server.aboutBot.Bot(line:221) -start aboutMyself
[2013-04-10 16:51:17]INFO  server.aboutBot.Bot(line:230) -start aboutQuestion
[2013-04-10 16:51:17]INFO  server.aboutBot.Bot(line:415) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:51:17]INFO  server.conn.Conn(line:88) -127.0.0.1数据库连接成功!
[2013-04-10 16:51:17]INFO  server.aboutBot.Bot(line:236) -start aboutUnknow
[2013-04-10 16:51:17]INFO  server.aboutBot.Answers(line:22) -插入Unknow回答我不知道你想让我说什么呢。
[2013-04-10 16:51:17]INFO  server.aboutBot.Bot(line:238) -aboutUnknow access
[2013-04-10 16:51:17]INFO  server.aboutBot.Answers(line:27) -没有可回答答案，插入Unknow回答!
[2013-04-10 16:51:17]INFO  server.aboutBot.Answers(line:30) -答案集：1 [我不知道你想让我说什么呢。]
[2013-04-10 16:51:17]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::我不知道你想让我说什么呢。
[2013-04-10 16:51:17]INFO  server.handle.Dispatcher(line:58) -使用时间为：557
[2013-04-10 16:51:22]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:58013receive:1_你好::::0::::-1::::0
[2013-04-10 16:51:22]INFO  server.aboutBot.Bot(line:212) -start aboutMemory
[2013-04-10 16:51:22]INFO  server.aboutBot.Bot(line:286) -1 true
[2013-04-10 16:51:22]INFO  server.aboutBot.Answers(line:15) -插入可回答答案none
[2013-04-10 16:51:22]INFO  server.aboutBot.Bot(line:221) -start aboutMyself
[2013-04-10 16:51:22]INFO  server.aboutBot.Bot(line:230) -start aboutQuestion
[2013-04-10 16:51:22]INFO  server.aboutBot.Bot(line:415) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:51:22]INFO  server.aboutBot.Bot(line:236) -start aboutUnknow
[2013-04-10 16:51:22]INFO  server.aboutBot.Answers(line:22) -插入Unknow回答我不知道你想让我说什么呢。
[2013-04-10 16:51:22]INFO  server.aboutBot.Bot(line:238) -aboutUnknow access
[2013-04-10 16:51:22]INFO  server.aboutBot.Answers(line:30) -答案集：1 [none]
[2013-04-10 16:51:22]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::none
[2013-04-10 16:51:22]INFO  server.handle.Dispatcher(line:58) -使用时间为：17
[2013-04-10 16:52:17]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:58018receive:1_你好::::1::::1::::1
[2013-04-10 16:52:17]INFO  server.aboutBot.Bot(line:212) -start aboutMemory
[2013-04-10 16:52:17]INFO  server.aboutBot.Bot(line:286) -0 false
[2013-04-10 16:52:17]INFO  server.aboutBot.Bot(line:221) -start aboutMyself
[2013-04-10 16:52:17]INFO  server.aboutBot.Bot(line:230) -start aboutQuestion
[2013-04-10 16:52:17]INFO  server.aboutBot.Bot(line:415) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:52:18]INFO  server.conn.Conn(line:88) -127.0.0.1数据库连接成功!
[2013-04-10 16:52:18]INFO  server.aboutBot.Bot(line:236) -start aboutUnknow
[2013-04-10 16:52:18]INFO  server.aboutBot.Answers(line:22) -插入Unknow回答我不知道你想让我说什么呢。
[2013-04-10 16:52:18]INFO  server.aboutBot.Bot(line:238) -aboutUnknow access
[2013-04-10 16:52:18]INFO  server.aboutBot.Answers(line:27) -没有可回答答案，插入Unknow回答!
[2013-04-10 16:52:18]INFO  server.aboutBot.Answers(line:30) -答案集：1 [我不知道你想让我说什么呢。]
[2013-04-10 16:52:18]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::我不知道你想让我说什么呢。
[2013-04-10 16:52:18]INFO  server.handle.Dispatcher(line:58) -使用时间为：536
[2013-04-10 16:52:22]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:58018receive:1_你好::::0::::-1::::0
[2013-04-10 16:52:22]INFO  server.aboutBot.Bot(line:212) -start aboutMemory
[2013-04-10 16:52:22]INFO  server.aboutBot.Bot(line:286) -1 true
[2013-04-10 16:52:22]INFO  server.aboutBot.Bot(line:221) -start aboutMyself
[2013-04-10 16:52:22]INFO  server.aboutBot.Bot(line:230) -start aboutQuestion
[2013-04-10 16:52:22]INFO  server.aboutBot.Bot(line:415) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:52:22]INFO  server.aboutBot.Bot(line:236) -start aboutUnknow
[2013-04-10 16:52:22]INFO  server.aboutBot.Answers(line:22) -插入Unknow回答我不知道你想让我说什么呢。
[2013-04-10 16:52:22]INFO  server.aboutBot.Bot(line:238) -aboutUnknow access
[2013-04-10 16:52:22]INFO  server.aboutBot.Answers(line:27) -没有可回答答案，插入Unknow回答!
[2013-04-10 16:52:22]INFO  server.aboutBot.Answers(line:30) -答案集：1 [我不知道你想让我说什么呢。]
[2013-04-10 16:52:22]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::我不知道你想让我说什么呢。
[2013-04-10 16:52:22]INFO  server.handle.Dispatcher(line:58) -使用时间为：14
[2013-04-10 16:52:27]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:58018receive:1_ok了::::0::::-1::::0
[2013-04-10 16:52:27]INFO  server.aboutBot.Bot(line:212) -start aboutMemory
[2013-04-10 16:52:27]INFO  server.aboutBot.Bot(line:286) -0 false
[2013-04-10 16:52:27]INFO  server.aboutBot.Bot(line:221) -start aboutMyself
[2013-04-10 16:52:27]INFO  server.aboutBot.Bot(line:230) -start aboutQuestion
[2013-04-10 16:52:27]INFO  server.aboutBot.Bot(line:415) -select * from b_teacherquestion where t_question2 regexp '(-=ok=-){1}'
[2013-04-10 16:52:27]INFO  server.aboutBot.Answers(line:22) -插入Unknow回答什么ok了,说的详细点吧。
[2013-04-10 16:52:27]INFO  server.aboutBot.Bot(line:233) -aboutQuestion access
[2013-04-10 16:52:27]INFO  server.aboutBot.Answers(line:27) -没有可回答答案，插入Unknow回答!
[2013-04-10 16:52:27]INFO  server.aboutBot.Answers(line:30) -答案集：1 [什么ok了,说的详细点吧。]
[2013-04-10 16:52:27]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::什么ok了,说的详细点吧。
[2013-04-10 16:52:27]INFO  server.handle.Dispatcher(line:58) -使用时间为：8
[2013-04-10 16:55:21]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:58038receive:1_你好::::1::::1::::1
[2013-04-10 16:55:21]INFO  server.aboutBot.Memory(line:181) -1 1 1 0
[2013-04-10 16:55:22]INFO  server.aboutBot.Bot(line:212) -start aboutMemory
[2013-04-10 16:55:22]INFO  server.aboutBot.Bot(line:286) -0 false
[2013-04-10 16:55:22]INFO  server.aboutBot.Bot(line:221) -start aboutMyself
[2013-04-10 16:55:22]INFO  server.aboutBot.Bot(line:230) -start aboutQuestion
[2013-04-10 16:55:22]INFO  server.aboutBot.Bot(line:415) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:55:22]INFO  server.conn.Conn(line:88) -127.0.0.1数据库连接成功!
[2013-04-10 16:55:22]INFO  server.aboutBot.Bot(line:236) -start aboutUnknow
[2013-04-10 16:55:22]INFO  server.aboutBot.Answers(line:22) -插入Unknow回答:我不知道你想让我说什么呢。
[2013-04-10 16:55:22]INFO  server.aboutBot.Bot(line:238) -aboutUnknow access
[2013-04-10 16:55:22]INFO  server.aboutBot.Answers(line:27) -没有可回答答案，插入Unknow回答!
[2013-04-10 16:55:22]INFO  server.aboutBot.Answers(line:30) -答案集:1 [我不知道你想让我说什么呢。]
[2013-04-10 16:55:22]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::我不知道你想让我说什么呢。
[2013-04-10 16:55:22]INFO  server.handle.Dispatcher(line:58) -使用时间为：688
[2013-04-10 16:55:28]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:58038receive:1_你好啊::::0::::-1::::0
[2013-04-10 16:55:28]INFO  server.aboutBot.Memory(line:181) -0 -1 0 6
[2013-04-10 16:55:28]INFO  server.aboutBot.Bot(line:212) -start aboutMemory
[2013-04-10 16:55:28]INFO  server.aboutBot.Bot(line:286) -1 true
[2013-04-10 16:55:28]INFO  server.aboutBot.Bot(line:221) -start aboutMyself
[2013-04-10 16:55:28]INFO  server.aboutBot.Bot(line:230) -start aboutQuestion
[2013-04-10 16:55:28]INFO  server.aboutBot.Bot(line:415) -select * from b_teacherquestion where t_question2 regexp '(-=你好=-){1}'
[2013-04-10 16:55:28]INFO  server.aboutBot.Bot(line:236) -start aboutUnknow
[2013-04-10 16:55:28]INFO  server.aboutBot.Answers(line:22) -插入Unknow回答:我不知道你想让我说什么呢。
[2013-04-10 16:55:28]INFO  server.aboutBot.Bot(line:238) -aboutUnknow access
[2013-04-10 16:55:28]INFO  server.aboutBot.Answers(line:27) -没有可回答答案，插入Unknow回答!
[2013-04-10 16:55:28]INFO  server.aboutBot.Answers(line:30) -答案集:1 [我不知道你想让我说什么呢。]
[2013-04-10 16:55:28]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::我不知道你想让我说什么呢。
[2013-04-10 16:55:28]INFO  server.handle.Dispatcher(line:58) -使用时间为：6
[2013-04-10 16:55:33]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:58038receive:1_你叫什么::::0::::0::::0
[2013-04-10 16:55:33]INFO  server.aboutBot.Memory(line:181) -0 0 0 5
[2013-04-10 16:55:33]INFO  server.aboutBot.Bot(line:212) -start aboutMemory
[2013-04-10 16:55:33]INFO  server.aboutBot.Bot(line:286) -0 false
[2013-04-10 16:55:33]INFO  server.aboutBot.Bot(line:221) -start aboutMyself
[2013-04-10 16:55:33]INFO  server.aboutBot.Bot(line:336) -找到的关键字name
[2013-04-10 16:55:33]INFO  server.aboutBot.Answers(line:15) -插入可回答答案:我叫木木！
[2013-04-10 16:55:33]INFO  server.aboutBot.Bot(line:224) -aboutMyself access
[2013-04-10 16:55:33]INFO  server.aboutBot.Answers(line:30) -答案集:1 [我叫木木！]
[2013-04-10 16:55:33]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::我叫木木！
[2013-04-10 16:55:33]INFO  server.handle.Dispatcher(line:58) -使用时间为：5
[2013-04-10 16:55:36]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:58038receive:1_好名字::::0::::-1::::0
[2013-04-10 16:55:36]INFO  server.aboutBot.Memory(line:181) -0 -1 0 3
[2013-04-10 16:55:36]INFO  server.aboutBot.Bot(line:212) -start aboutMemory
[2013-04-10 16:55:36]INFO  server.aboutBot.Bot(line:286) -0 false
[2013-04-10 16:55:36]INFO  server.aboutBot.Bot(line:221) -start aboutMyself
[2013-04-10 16:55:36]INFO  server.aboutBot.Bot(line:230) -start aboutQuestion
[2013-04-10 16:55:36]INFO  server.aboutBot.Bot(line:415) -select * from b_teacherquestion where t_question2 regexp '(-=好名字=-){1}'
[2013-04-10 16:55:36]INFO  server.aboutBot.Answers(line:22) -插入Unknow回答:什么好名字,说的详细点吧。
[2013-04-10 16:55:36]INFO  server.aboutBot.Bot(line:233) -aboutQuestion access
[2013-04-10 16:55:36]INFO  server.aboutBot.Answers(line:27) -没有可回答答案，插入Unknow回答!
[2013-04-10 16:55:36]INFO  server.aboutBot.Answers(line:30) -答案集:1 [什么好名字,说的详细点吧。]
[2013-04-10 16:55:36]INFO  server.handle.Dispatcher(line:96) -send:1_木木::::什么好名字,说的详细点吧。
[2013-04-10 16:55:36]INFO  server.handle.Dispatcher(line:58) -使用时间为：8
[2013-04-10 16:56:26]INFO  server.handle.Dispatcher(line:55) -/127.0.0.1:58038receive:1_不错::::0::::-1::::0
[2013-04-10 16:56:26]INFO  server.aboutBot.Memory(line:181) -0 -1 0 50
